epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.68568,0.76876,3.11033,1.29336,0.00359,1,0.06564,0.03858,1.08464,4.01436,1.49981,0,0,0
2,13.1145,0.98838,3.12489,1.41638,0.00359,1,0.06564,0.03858,1.08464,4.01436,1.49981,0.000466902,0.000466902,0.000466902
3,19.2801,0.72662,3.09056,1.33261,0.00359,1,0.06564,0.03858,1.08464,4.01436,1.49981,0.000914941,0.000914941,0.000914941
4,25.6374,0.9661,3.16712,1.38948,0.00329,1,0.36398,0.29988,0.4985,3.76662,0.96035,0.00134412,0.00134412,0.00134412
5,31.7337,0.63263,2.65963,1.24904,0.00329,1,0.36398,0.29988,0.4985,3.76662,0.96035,0.00131582,0.00131582,0.00131582
6,37.8592,0.61935,2.70612,1.18703,0.00329,1,0.36398,0.29988,0.4985,3.76662,0.96035,0.00128753,0.00128753,0.00128753
7,44.1043,0.68107,2.64511,1.24065,0.00327,1,0.60049,0.22396,1.30839,4.23507,1.68728,0.00125923,0.00125923,0.00125923
8,50.1918,0.58213,2.3111,1.19019,0.00327,1,0.60049,0.22396,1.30839,4.23507,1.68728,0.00123094,0.00123094,0.00123094
9,56.2641,0.57742,2.27085,1.195,0.00327,1,0.60049,0.22396,1.30839,4.23507,1.68728,0.00120265,0.00120265,0.00120265
10,62.5278,0.71019,2.52168,1.32439,0.0034,1,0.18663,0.082,0.96239,3.8449,1.64903,0.00117435,0.00117435,0.00117435
11,68.7994,0.58428,2.1077,1.13375,0.0034,1,0.18663,0.082,0.96239,3.8449,1.64903,0.00114606,0.00114606,0.00114606
12,74.8739,0.55665,1.90288,1.16008,0.0034,1,0.18663,0.082,0.96239,3.8449,1.64903,0.00111776,0.00111776,0.00111776
13,81.0089,0.4541,1.92749,1.11779,0.00352,1,0.22065,0.06991,0.98833,3.8283,1.71409,0.00108947,0.00108947,0.00108947
14,87.3866,0.47563,1.69313,1.10339,0.00352,1,0.22065,0.06991,0.98833,3.8283,1.71409,0.00106118,0.00106118,0.00106118
15,93.6293,0.42039,1.57825,1.08969,0.00352,1,0.22065,0.06991,0.98833,3.8283,1.71409,0.00103288,0.00103288,0.00103288
16,99.771,0.44031,1.59938,1.07811,0.00317,0.83333,0.30673,0.10455,1.31593,4.04092,1.96487,0.00100459,0.00100459,0.00100459
