epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.524,1.70168,3.42054,2.05165,0.00336,1,0.04016,0.01779,1.22314,3.74467,1.42425,0.000238167,0.000238167,0.000238167
2,26.3008,1.4144,3.19122,1.86757,0.00334,1,0.66986,0.37527,0.82658,3.63854,1.14413,0.000690921,0.000690921,0.000690921
3,38.5753,1.08145,3.02384,1.62136,0.00334,1,0.66986,0.37527,0.82658,3.63854,1.14413,0.00111224,0.00111224,0.00111224
4,50.9525,1.02251,2.77755,1.53886,0.00335,1,0.29573,0.12466,2.12061,3.99323,2.52228,0.00128753,0.00128753,0.00128753
5,63.3409,1.1859,2.72145,1.66338,0.00335,1,0.29573,0.12466,2.12061,3.99323,2.52228,0.00124037,0.00124037,0.00124037
6,75.9532,1.1709,2.43113,1.66529,0.00334,1,0.7581,0.35728,1.23912,3.70444,1.8298,0.00119322,0.00119322,0.00119322
7,88.3346,0.98349,2.29158,1.5084,0.00334,1,0.7581,0.35728,1.23912,3.70444,1.8298,0.00114606,0.00114606,0.00114606
8,100.601,1.05452,2.19217,1.59856,0.00335,1,0.46559,0.20399,1.07367,3.7185,1.39077,0.0010989,0.0010989,0.0010989
9,112.898,0.93149,2.06619,1.49409,0.00335,1,0.46559,0.20399,1.07367,3.7185,1.39077,0.00105174,0.00105174,0.00105174
10,125.502,0.75554,1.90816,1.33834,0.00333,1,0.60012,0.33238,1.12415,3.61192,1.63884,0.00100459,0.00100459,0.00100459
11,137.767,0.70648,1.80462,1.27991,0.00333,1,0.60012,0.33238,1.12415,3.61192,1.63884,0.00095743,0.00095743,0.00095743
12,150.563,0.63735,1.55552,1.27906,0.82423,0.33333,0.796,0.28475,1.192,3.41917,1.36984,0.000910273,0.000910273,0.000910273
13,162.852,0.72254,1.69638,1.31443,0.82423,0.33333,0.796,0.28475,1.192,3.41917,1.36984,0.000863116,0.000863116,0.000863116
14,174.881,0.67964,1.56959,1.2575,0.00378,1,0.70194,0.33655,1.20364,3.33617,1.47469,0.000815959,0.000815959,0.000815959
15,186.76,0.68886,1.46665,1.30403,0.00378,1,0.70194,0.33655,1.20364,3.33617,1.47469,0.000768802,0.000768802,0.000768802
16,198.844,0.66286,1.38249,1.2964,0.86539,0.33333,0.6829,0.55941,0.88401,3.1767,1.27025,0.000721645,0.000721645,0.000721645
17,210.879,0.56825,1.30269,1.18011,0.86539,0.33333,0.6829,0.55941,0.88401,3.1767,1.27025,0.000674488,0.000674488,0.000674488
18,222.831,0.64916,1.46869,1.28505,0.98656,0.33333,0.67476,0.61958,0.62236,2.89852,0.743,0.000627331,0.000627331,0.000627331
19,234.755,0.59356,1.40878,1.20086,0.98656,0.33333,0.67476,0.61958,0.62236,2.89852,0.743,0.000580174,0.000580174,0.000580174
20,247.045,0.55378,1.37879,1.22862,0.9822,0.33333,0.77361,0.59258,0.46071,2.79571,0.56127,0.000533017,0.000533017,0.000533017
21,259.266,0.43764,2.05498,1.12577,0.9822,0.33333,0.77361,0.59258,0.46071,2.79571,0.56127,0.00048586,0.00048586,0.00048586
22,271.476,0.41128,2.09459,1.1584,0.77241,0.33333,0.796,0.7494,0.41598,2.72536,0.58299,0.000438703,0.000438703,0.000438703
23,283.716,0.49596,2.15172,1.23029,0.77241,0.33333,0.796,0.7494,0.41598,2.72536,0.58299,0.000391546,0.000391546,0.000391546
24,296.088,0.39077,1.96735,1.17107,0.76954,0.33333,0.82917,0.77108,0.37214,2.66592,0.5534,0.000344389,0.000344389,0.000344389
25,308.801,0.25485,1.76196,1.03788,0.76954,0.33333,0.82917,0.77108,0.37214,2.66592,0.5534,0.000297232,0.000297232,0.000297232
26,320.541,0.26683,1.66943,1.06729,0.69002,0.66667,0.82917,0.77933,0.31974,2.4734,0.45363,0.000250075,0.000250075,0.000250075
27,332.717,0.24611,1.66949,1.03674,0.69002,0.66667,0.82917,0.77933,0.31974,2.4734,0.45363,0.000202918,0.000202918,0.000202918
28,344.953,0.26504,1.52507,1.02524,0.54127,1,0.995,0.97008,0.24585,2.2905,0.3334,0.000155761,0.000155761,0.000155761
29,356.933,0.21344,1.52111,1.0474,0.54127,1,0.995,0.97008,0.24585,2.2905,0.3334,0.000108604,0.000108604,0.000108604
30,369.778,0.24958,1.55101,1.07606,0.55025,1,0.995,0.995,0.21349,2.17309,0.28983,6.1447e-05,6.1447e-05,6.1447e-05
