epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1056,1.53773,3.0226,2.22955,0.00483,1,0.74625,0.24755,1.72305,3.44696,3.53124,0.000315789,0.000315789,0.0687368
2,101.893,1.33112,2.41318,1.9306,0.00368,1,0.40324,0.18987,1.40521,3.10001,3.20563,0.000643768,0.000643768,0.0357315
3,148.134,1.14258,2.0154,1.69308,0.00364,1,0.4805,0.23415,1.18875,3.02593,2.6347,0.000966246,0.000966246,0.00272063
4,193.688,1.26334,1.9642,1.80441,0.83486,0.33333,0.75038,0.50722,1.16415,2.49767,2.41339,0.00097525,0.00097525,0.00097525
5,240.141,1.24312,1.87012,1.69976,0.61734,0.33333,0.79361,0.32096,1.41008,2.54087,2.6793,0.000967,0.000967,0.000967
6,291.483,1.13215,1.79098,1.71027,0.49207,0.83333,0.75056,0.19496,1.80802,2.76564,3.05948,0.00095875,0.00095875,0.00095875
7,336.415,1.03036,1.5939,1.55901,0.35909,0.83333,0.74583,0.35592,1.45438,2.72609,2.80424,0.0009505,0.0009505,0.0009505
8,390.755,1.00781,1.58728,1.55679,0.68916,0.66667,0.66527,0.42294,1.50931,2.93813,2.72568,0.00094225,0.00094225,0.00094225
9,450.085,1.03437,1.58576,1.54684,0.95822,0.55919,0.66333,0.38999,1.38688,2.86918,2.64523,0.000934,0.000934,0.000934
10,506.957,0.94133,1.47578,1.49886,0.69702,0.5,0.6928,0.34044,1.279,2.52523,2.53325,0.00092575,0.00092575,0.00092575
11,570.964,0.90881,1.3318,1.44113,0.99223,0.33333,0.75733,0.43995,1.31697,2.69378,2.58372,0.0009175,0.0009175,0.0009175
12,623.998,0.92255,1.34544,1.42339,0.43096,0.83333,0.895,0.47262,1.44139,2.33705,2.7882,0.00090925,0.00090925,0.00090925
13,672.9,0.89346,1.2388,1.42472,0.43263,0.94434,0.77361,0.41776,1.33131,2.80351,2.64103,0.000901,0.000901,0.000901
14,717.456,0.9078,1.27738,1.43912,0.51655,0.88787,0.77361,0.48614,1.44457,1.9099,2.93396,0.00089275,0.00089275,0.00089275
15,764.066,0.91909,1.24823,1.44941,0.94414,0.5,0.91167,0.52461,1.47005,1.99508,2.99271,0.0008845,0.0008845,0.0008845
16,809.753,0.85337,1.16054,1.33837,0.8745,0.48393,0.6075,0.34925,1.35672,2.40532,2.67128,0.00087625,0.00087625,0.00087625
17,855.337,0.80892,1.11153,1.35773,0.85845,0.48594,0.58,0.32074,1.43941,2.27769,2.93271,0.000868,0.000868,0.000868
18,901.975,0.80547,1.07114,1.32567,0.99438,0.61847,0.66333,0.34233,1.38819,2.5206,2.87077,0.00085975,0.00085975,0.00085975
19,948.506,0.73487,1.02635,1.29868,1,0.58482,0.77389,0.37066,1.49646,2.20689,3.0396,0.0008515,0.0008515,0.0008515
20,992.443,0.7571,1.06063,1.29996,0.46199,1,0.895,0.44717,1.53941,1.85423,2.73545,0.00084325,0.00084325,0.00084325
21,1036.5,0.79908,1.06665,1.31947,0.52838,1,0.85864,0.46636,1.4954,2.16609,2.67321,0.000835,0.000835,0.000835
22,1080.74,0.81061,1.06062,1.33944,0.61354,1,0.995,0.50042,1.6149,1.49062,2.79031,0.00082675,0.00082675,0.00082675
23,1125.03,0.70933,0.8978,1.2222,0.7705,0.99417,0.93944,0.3989,1.88466,1.44,3.38405,0.0008185,0.0008185,0.0008185
24,1169.68,0.67336,0.87529,1.17322,0.66362,0.80885,0.77361,0.34104,1.6897,2.1354,2.98561,0.00081025,0.00081025,0.00081025
25,1214.09,0.71063,0.93043,1.23951,0.91905,0.5,0.67467,0.3072,1.67771,2.07408,2.88048,0.000802,0.000802,0.000802
26,1258.82,0.66881,0.8963,1.22323,0.44047,0.55702,0.6588,0.29912,1.59934,2.11732,2.72493,0.00079375,0.00079375,0.00079375
27,1302.95,0.65787,0.88493,1.20323,0.78344,0.83333,0.85611,0.40071,1.67288,1.83572,3.20609,0.0007855,0.0007855,0.0007855
28,1347.22,0.61494,0.8218,1.16267,0.97612,0.85947,0.995,0.46704,1.78656,1.57399,3.67934,0.00077725,0.00077725,0.00077725
